161,1.188829
161.5,1.194628
162,1.20046
162.5,1.205558
163,1.21152
163.5,1.216065
164,1.221604
164.5,1.226197
165,1.231719
165.5,1.235743
166,1.240315
166.5,1.244648
167,1.248731
167.5,1.252548
168,1.255773
168.5,1.260242
169,1.263359
169.5,1.266263
170,1.269814
170.5,1.272779
171,1.275174
171.5,1.277883
172,1.280294
172.5,1.282542
173,1.284002
173.5,1.286543
174,1.288275
174.5,1.289882
175,1.290756
175.5,1.29263
176,1.29345
176.5,1.293705
177,1.294693
177.5,1.295502
178,1.295828
178.5,1.295632
179,1.296018
179.5,1.296029
180,1.29503
180.5,1.294242
181,1.293873
181.5,1.29314
182,1.292
182.5,1.290626
183,1.28979
183.5,1.287515
184,1.285729
184.5,1.284474
185,1.28221
185.5,1.279631
186,1.277356
186.5,1.275174
187,1.272041
187.5,1.269098
188,1.266057
188.5,1.263103
189,1.259297
189.5,1.255648
190,1.252266
190.5,1.248351
191,1.243708
191.5,1.239842
192,1.235461
192.5,1.230769
193,1.225584
193.5,1.221321
194,1.215946
194.5,1.210451
195,1.20551
195.5,1.200161
196,1.193906
196.5,1.187851
197,1.182307
197.5,1.17596
198,1.169585
198.5,1.162911
199,1.156612
199.5,1.149444
200,1.142217
200.5,1.135277
201,1.128229
201.5,1.120339
202,1.112682
202.5,1.105313
203,1.097423
203.5,1.088946
204,1.081056
204.5,1.073089
205,1.064232
205.5,1.055891
206,1.047137
206.5,1.038253
207,1.029162
207.5,1.019816
208,1.010589
208.5,1.001509
209,0.991131
209.5,0.981758
210,0.972102
210.5,0.962153
211,0.951422
211.5,0.941679
212,0.931279
212.5,0.920406
213,0.910141
213.5,0.899595
214,0.888238
214.5,0.87723
215,0.866074
215.5,0.854826
216,0.843073
216.5,0.831494
217,0.820393
217.5,0.808564
218,0.796816
218.5,0.784514
219,0.772804
219.5,0.760584
220,0.747613
220.5,0.735854
221,0.723482
221.5,0.71069
222,0.697774
222.5,0.685369
223,0.672333
223.5,0.659194
224,0.646441
224.5,0.633258
225,0.619711
225.5,0.606463
226,0.592895
226.5,0.57924
227,0.56516
227.5,0.551831
228,0.537844
228.5,0.524058
229,0.510223
229.5,0.496388
230,0.481901
230.5,0.467674
231,0.453627
231.5,0.439439
232,0.42442
232.5,0.409796
233,0.395814
233.5,0.381039
234,0.366166
234.5,0.351537
235,0.337126
235.5,0.321992
236,0.306505
236.5,0.2918
237,0.276688
237.5,0.261217
238,0.246365
238.5,0.231475
239,0.216032
239.5,0.200723
240,0.185562
240.5,0.170167
241,0.154891
241.5,0.139192
242,0.124069
242.5,0.108652
243,0.09267
243.5,0.077112
244,0.061814
244.5,0.046061
245,0.029894
245.5,0.014564
246,-0.000864
246.5,-0.017682
247,-0.033392
247.5,-0.04832
248,-0.064107
248.5,-0.080496
249,-0.096174
249.5,-0.110803
250,-0.127285
250.5,-0.143581
251,-0.158629
251.5,-0.174328
252,-0.190924
252.5,-0.206096
253,-0.222197
253.5,-0.237809
254,-0.254416
254.5,-0.269773
255,-0.285439
255.5,-0.3016
256,-0.317233
256.5,-0.331938
257,-0.348001
257.5,-0.364086
258,-0.379355
258.5,-0.394304
259,-0.410378
259.5,-0.426739
260,-0.441237
260.5,-0.456572
261,-0.472753
261.5,-0.488077
262,-0.502314
262.5,-0.517806
263,-0.534215
263.5,-0.549528
264,-0.564422
264.5,-0.580722
265,-0.596257
265.5,-0.610141
266,-0.625463
266.5,-0.640134
267,-0.655533
267.5,-0.669753
268,-0.684554
268.5,-0.700273
269,-0.714221
269.5,-0.728028
270,-0.743866
270.5,-0.757651
271,-0.77187
271.5,-0.785839
272,-0.801139
272.5,-0.81526
273,-0.828773
273.5,-0.843649
274,-0.858014
274.5,-0.87093
275,-0.884665
275.5,-0.899165
276,-0.912678
276.5,-0.92563
277,-0.938942
277.5,-0.953431
278,-0.966188
278.5,-0.978662
279,-0.992179
279.5,-1.00599
280,-1.017888
280.5,-1.031003
281,-1.044183
281.5,-1.05625
282,-1.068202
282.5,-1.081642
283,-1.094311
283.5,-1.105454
284,-1.117265
284.5,-1.130075
285,-1.142103
285.5,-1.153327
286,-1.165203
286.5,-1.177132
287,-1.188188
287.5,-1.198885
288,-1.210565
288.5,-1.221658
289,-1.232094
289.5,-1.242677
290,-1.254248
290.5,-1.264369
291,-1.273838
291.5,-1.285245
292,-1.29522
292.5,-1.305481
293,-1.314402
293.5,-1.325359
294,-1.33429
294.5,-1.343797
295,-1.353124
